Episode:369, reward-199.6, passenger24
Episode:370, reward-174.2, passenger26
Episode:371, reward222.6, passenger61
Episode:372, reward-170.6, passenger26
Episode:373, reward139.1, passenger54
Episode:374, reward-485.5, passenger0
Episode:375, reward-184.6, passenger21
Episode:376, reward-330.7, passenger9
Episode:377, reward-332.4, passenger10
Episode:378, reward185.0, passenger54
Episode:379, reward-107.3, passenger29
Episode:380, reward-373.3, passenger6
Episode:381, reward-243.5, passenger17
Episode:382, reward-28.2, passenger37
Episode:383, reward-316.2, passenger10
Episode:384, reward309.5, passenger66
Episode:385, reward-337.3, passenger6
Episode:386, reward-48.0, passenger37
Episode:387, reward-394.0, passenger6
Episode:388, reward63.3, passenger43
Episode:389, reward-31.7, passenger38
Episode:390, reward-34.7, passenger35
Episode:391, reward-301.0, passenger18
Episode:392, reward141.7, passenger53
Episode:393, reward-250.3, passenger21
Episode:394, reward-421.6, passenger0
Episode:395, reward13.6, passenger41
Episode:396, reward-62.5, passenger36
Episode:397, reward-105.5, passenger38
Episode:398, reward39.6, passenger49
Episode:399, reward-289.2, passenger19
Episode:400, reward87.0, passenger46
Episode:401, reward-43.2, passenger40
Episode:402, reward-45.4, passenger36
Episode:403, reward29.8, passenger41
Episode:404, reward92.6, passenger48
Episode:405, reward247.1, passenger63
Episode:406, reward-57.9, passenger37
Episode:407, reward-167.2, passenger24
Episode:408, reward-138.2, passenger26
Episode:409, reward-453.1, passenger0
Episode:410, reward-181.9, passenger30
Episode:411, reward-435.9, passenger1
Episode:412, reward244.3, passenger71
Episode:413, reward-104.9, passenger35
Episode:414, reward-272.9, passenger20
Episode:415, reward199.5, passenger64
Episode:416, reward-28.2, passenger37
Episode:417, reward-145.2, passenger28
Episode:418, reward-393.3, passenger4
Episode:419, reward-431.5, passenger0
Episode:420, reward-290.5, passenger15
Episode:421, reward263.0, passenger69
Episode:422, reward46.4, passenger45
Episode:423, reward-192.5, passenger23
Episode:424, reward83.4, passenger46
Episode:425, reward190.6, passenger56
Episode:426, reward-145.6, passenger33
Episode:427, reward-61.5, passenger37
Episode:428, reward-318.7, passenger12
Episode:429, reward-232.6, passenger18
Episode:430, reward-136.2, passenger28
Episode:431, reward-289.9, passenger12
Episode:432, reward141.8, passenger54
Episode:433, reward-332.6, passenger8
Episode:434, reward10.9, passenger41
Episode:435, reward-436.9, passenger0
Episode:436, reward31.8, passenger43
Episode:437, reward-195.1, passenger24
Episode:438, reward199.1, passenger60
Episode:439, reward-87.8, passenger30
Episode:440, reward281.7, passenger67
Episode:441, reward-244.2, passenger19
Episode:442, reward-187.5, passenger28
Episode:443, reward-68.3, passenger41
Episode:444, reward-493.6, passenger0
Episode:445, reward-425.7, passenger4
Episode:446, reward-464.8, passenger0
Episode:447, reward2.1, passenger43
Episode:448, reward-160.8, passenger25
Episode:449, reward202.8, passenger61
Episode:450, reward115.4, passenger51
Episode:451, reward-309.3, passenger16
Episode:452, reward-231.7, passenger27
Episode:453, reward-40.2, passenger34
Episode:454, reward-246.2, passenger17
Episode:455, reward-80.9, passenger32
Episode:456, reward-283.6, passenger12
Episode:457, reward-285.0, passenger16
Episode:458, reward354.2, passenger72
Episode:459, reward-334.1, passenger11
Episode:460, reward225.8, passenger66
Episode:461, reward-232.3, passenger21
Episode:462, reward-45.3, passenger37
Episode:463, reward3.0, passenger43
Episode:464, reward-134.5, passenger27
Episode:465, reward-96.4, passenger30
Episode:466, reward59.0, passenger45
Episode:467, reward179.1, passenger57
Episode:468, reward-235.1, passenger29
Episode:469, reward-517.9, passenger0
Episode:470, reward-1.2, passenger46
Episode:471, reward-254.4, passenger16
Episode:472, reward-291.5, passenger14
Episode:473, reward526.5, passenger85
Episode:474, reward-304.5, passenger10
Episode:475, reward-440.9, passenger5
Episode:476, reward-84.1, passenger36
Episode:477, reward-183.4, passenger28
Episode:478, reward63.3, passenger43
Episode:479, reward-129.0, passenger36
Episode:480, reward-262.1, passenger20
Episode:481, reward-128.7, passenger31
Episode:482, reward-188.2, passenger21
Episode:483, reward-145.1, passenger29
